Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Category,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,2021 ENERGY STAR Score,2021 Site EUI (kBtu/ft2),2021 Source EUI (kBtu/ft2),2021 Percent Better than National Median Site EUI,2021 Weather Normalized Site EUI (kBtu/ft2),2021 Weather Normalized Source EUI (kBtu/ft2),2021 Total GHG Emissions (Metric Tons CO2e),2021 Total GHG Emissions Intensity (kGCO2e/ft2) ,2021 Electricity Use - Grid Purchase (kWh),2021 Natural Gas Use (kBtu), 2021 District Steam Use (kBtu) ,2021 Site Energy Use (kBtu),2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2020 Total GHG Emissions (Metric Tons CO2e),2020 Total GHG Emissions Intensity (kGCO2e/ft2) ,2020 Electricity Use - Grid Purchase (kWh),2020 Natural Gas Use (kBtu),2020 District Steam Use (kBtu) ,2020 Site Energy Use (kBtu),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2019 Total GHG Emissions (Metric Tons CO2e),2019 Total GHG Emissions Intensity (kGCO2e/ft2) ,2019 Electricity Use - Grid Purchase (kWh),2019 Natural Gas Use (kBtu),2019 District Steam Use (kBtu) ,2019 Site Energy Use (kBtu),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2018 Total GHG Emissions (Metric Tons CO2e),2018 Total GHG Emissions Intensity (kGCO2e/ft2) ,2018 Electricity Use - Grid Purchase (kWh),2018 Natural Gas Use (kBtu),2018 District Steam Use (kBtu),2018 Site Energy Use (kBtu),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2021 Benchmark Status,2021 Reason for Exemption,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption
0258/032,"TR601 California Corp, LLC",601 CALIFORNIA ST,94108,281593,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0258/032,1960,04/01/2024,,76,44.6,89.6,-32.5,45.9,91.3,796.4,2.8,1860129.9,,6209077.9,12555841.9,,46.8,97.7,-30.8,54.2,106.5,871.8,3.1,2132632.5,,5864667.2,13141210.1,65,57.6,121.2,-19.3,60,124.2,1110,4,2678194.3,,7023683.7,16161683.9,55,64.5,132.7,-1.6,64.1,132.2,1241,4.4,2841697.1,,8404264.6,18100136.4,77,58.2,138,-29,59.2,139.2,8,215,326,71.9,71.9,215,326,85,38.1,117.7,-39,38.1,117.7,66,65.1,160,-16.7,65.1,160,79,50.8,144.8,-30.8,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,
0258/042,500 Pine Street,500 Pine Street,94108,84524,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0258/042,,,,,20.9,43.6,-63.8,21.1,43.8,103.3,1.3,289456.6,671208.7,,1658834.7,,,,,,,,,315059.4,452032.7,,1527015.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 -,,,,,,,,,,,,,,,,,,,
0259/026,555 California,555 CALIFORNIA ST,94104,1978104,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0259/026,1969,04/01/2025,Upcoming,,67.5,135.8,-15.7,68.3,136.8,7732.3,4.3,18183577.6,910643.4,59176679.7,122129697.3,,63,130.9,-23.3,66.6,135.2,7561.4,4.2,18315731.9,689027.3,50933656.5,114115968.8,62,80,166,-15.3,81.7,168,9921.7,5.5,23197706.7,1273855.3,64438916.8,144863356.9,61,75.4,161.7,-10.6,75.1,161.3,9385.5,5.2,23579050.6,616202.5,55509266.4,136577199.5,78,75.2,177.7,-29.5,76.4,179.1,77,75.9,179.7,-28,-28,78.2,182.6,69,87.7,205.7,-20,87.1,203.7,68,83.4,204.7,-19.3999999999999,85,206.5,,,,,,,71,91.7,234,-20.6,86.6,227.8,70,96.7,,-19.1,91,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,
0259/029,315 Montgomery Street,315 MONTGOMERY ST,94104,246955,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0259/029,1921,04/01/2025,Upcoming,,56.7,121.2,-25,56.7,121.2,880.9,3.6,2405457.7,,5786060.9,13993483.6,,53.5,122.6,-31.1,51.6,117.3,875.6,3.5,2640718.5,,4191357,13201489.4,83,55,129.3,-41.4,55,126.6,941.2,3.8,2859933.5,,3823042.1,13581136.3,90,45.7,103.3,-49.7,45.5,103.1,779.9,3.2,2190792.4,,3816035.6,11291020.4,88,40.7,97.8,-41.8,41.6,98.9,84,42,101.9,-37.1,-37.1,42,101.9,88,58.8,134.9,-43,58.8,134.9,89,55.3,125.8,-44,56.9,127.7,79,68.0999999999999,158.4,-30.9,68.0999999999999,158.1,81,67.8,166.4,-33.2,65.5,165.2,82,66.9,,-34.3,67.2,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0260/001,425 California Street,425 CALIFORNIA ST,94104,211344,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/001,1968,04/01/2027,,95,30.3,66.3,-63,31.1,67.1,371.2,1.8,1218320,2253117.4,,6410025.8,,27.6,66.1,-67.4,29,67.6,368.9,1.7,1315354.7,1344093.5,,5832084.1,90,43.5,97.3,-52.1,44.7,98.6,596,2.8,1829909.6,2940418.3,,9184070.5,86,47,106.9,-43.2,46.8,106.6,648.4,3.1,2036341.6,2993772.2,,9941770.4,94,48.4,121.6,-52.5,49.3,122.5,90,55.6,136.1,-46.1,-46.1,57.3,137.8,91,54,135.8,-47,54.8,135.9,90,54.1,138.6,-45.2,55,139.7,89,57.8,145.1,-44,57.9,145.199999999999,88,61.7,160.699999999999,-41.8,61.1,160,89,62.1,,-42.6,62.1,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0260/002,Bank of Orient,233 SANSOME ST,94104,53743,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/002,1924,04/01/2026,,67,46.9,75.6,-21.6,48.3,77,140,2.6,236300.1,1716939,,2523195.1,,40.1,72.1,-42.4,45.2,77.4,126.6,2.4,269453.8,1236600,,2155976.3,,44,82.3,-47.7,46.8,85.3,140.2,2.6,325330.6,1254637.3,,2364665.4,,51.5,92.2,-38.7,50.9,91.8,162.3,3,343415.9,1593479.4,,2765214.7,87,61.1,117.8,-41.6,64.2,121,89,55.9,111.2,-43.9,-43.9,60.6,116.2,88,54.4,115.8,-43,57.6,119.1,75,62.4,145.3,-27,67.8,150.9,74,69.5,151.9,-25.3,69.7,152.1,74,67.4,162.1,-25.4,64.5,159,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0260/003,Shanghai Commercial Bank Building,231 SANSOME ST,94104,24444,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/003,1925,04/01/2024,Upcoming,,21.1,51.9,-55.4,21.1,51.9,31.8,1.3,119050.4,,109141.3,515341.3,,32.9,72,-38.1,32.9,72,53.3,2.2,145618.6,,307037.1,803887.7,89,35.9,83,-50.6,38,85.5,60.8,2.5,178451.1,,269613.8,878489,90,31.5,77.9,-49,31.2,77.5,53.6,2.2,179642.7,,156652.8,769593.8,92,36.7,95,-48.7,38,96.6,82,44.6,113.8,-34.6,-34.6,43.4,110.2,78,51.3,124.8,-30,50.4,122,81,48.7,117.2,-32.9,47.5,113.3,83,48.8,114.2,-36.2,48.8,114.1,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0260/004,217 SANSOME ST,217 SANSOME ST,94104,10588,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/004,1908,04/01/2025,,,60.1,168.3,44.6,60.1,168.3,38.5,3.6,186535.7,,,636460,,57.4,160.8,38.2,57.4,160.8,40.3,3.8,178199.8,,,608017.9,21,65.7,184,45.8,65.7,184,49,4.6,203890.5,,,695674.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0260/006,332 PINE ST,332 PINE ST,94104,47733,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/006,1912,04/01/2025,,,,,,,,,,,,,,,27.3,54.5,-53.2,32.4,61.3,78.4,1.6,206711.2,595537.6,,1300836.4,,34.4,64.3,-44.7,38.4,69.2,97.4,2,224932,876783.3,,1644251.4,,,,,,,,,,,,,82,36.9,76.3,-34.8,40.2,79.8,82,33.3,75.2,-34.1,-34.1,38.1,80.2,78,37,82.6,-29,39.1,84.8,87,27.9,66.2,-40.2999999999999,32,70.5,93,41.6,84.6,-51.3,41.7,84.7,95,36.4,77.8,-55.6,35.2999999999999,76.3,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Change in Ownership
0260/007,340 PINE ST,340 PINE ST,94104,61632,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/007,1928,04/01/2024,Upcoming,,,,,,,,,,,,,,20,36.7,-75,,,72.8,1.2,161541.3,682949,,1234128,74,58.1,102.2,-30.3,61.1,105.4,215.3,3.5,425912.3,2126192.1,,3579405,70,58.4,104,-20.9,58.4,104,217.1,3.5,440831.7,2093381,,3597499,53,75,132.7,-5,76.5,134.2,60,87.8,159.8,-10.6,-10.6,88.8,159,63,84.2,156.3,,85.4,157.5,70,78.2,141.8,,80.7,144.4,67,85.5,150.6,-18.1,85.7,150.8,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,
0260/008,354 Pine Street LLC,348 PINE ST,94104,22694,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/008,1907,04/01/2027,,,100.6,125.5,18.5,100.6,125.5,123.2,5.4,75721,2024254.8,,2282614.8,,35.1,58.6,-47,41.6,65.4,46,2,82582.7,514082.1,,795854.2,67,56.4,86.7,-21.7,58.3,88.6,72.7,3.2,104133.4,925574.3,,1280877.5,62,56.3,87,-15.9,56.6,87.4,74.1,3.3,106301.8,913910.6,,1276612.2,99,41,43,-67.5,42.9,45.1,74,55,96.1,-25.6,-25.6,57.4,98.6,76,55.5,95.5,-28,56.5,96.6,75,54.4,96,-26.7,57.8,99.6,73,59.4,102.8,-24,59.7,103,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0260/009,358 PINE ST,358 PINE ST,94104,21568,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/009,1928,04/01/2024,Upcoming,,,,,,,,,,,,,,83.6,145.5,69.9,83.6,145.5,113.1,5.2,191562.6,497931.5,651804.6,1803347.7,2,132.2,220.5,152.7,132.2,220.5,178.9,8.3,273074.8,1069861,850259.8,2851852.2,4,86.2,156.5,92.5,86.2,156.5,112.8,5.2,238478.6,1043985,703175.4,2560849.7,2,125.1,208.5,156.5,125.1,208.5,6,127.2,234.8,84.6,84.6,127.2,234.8,3,145.2,263.5,,145.6,262.6,3,147.9,264.7,,148.4,262.8,5,147.4,254.4,92.8,147.5,254.4,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0581/011,2398 PACIFIC AVE,2398 PACIFIC AVE,94115,64369,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0581/011,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0260/010,300 Montgomery Associates,300 MONTGOMERY ST,94104,208193,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/010,1918,04/01/2020,,97,17.5,49,-67.4,17.5,49,220.3,1.1,1067081.1,,,3640881.2,,22.8,63.8,-58.7,22.8,63.8,314.7,1.5,1391147.2,,,4746594.8,,30.6,85.6,-44.7,30.6,85.6,421.8,2,1864618.7,,,6362079.8,77,48.3,108.6,-29.9,48,108.1,686.5,3.3,1903201.8,,3450688.1,9944413.6,73,49.6,113.3,-29.1,50.8,114.8,69,52.8,120.9,-23.4,-23.4,54.9,123.4,89,38.8,121.8,-44,38.3,120.3,87,36.5,114.7,-41.8,35.6,111.8,89,34.9,109.7,-43.7,34.4,108,91,32.6,109,-46.6,33,110.1,91,32.7,,-46.9,32.7,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0260/015,Merchants Exchange Building,465 CALIFORNIA ST,94104,265363,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/015,1903,04/01/2024,Upcoming,,,,,,,,,,,,,,21.8,48.3,-68.9,24.3,51.3,381.1,1.4,1081539.3,236948,1865863.7,5793024.3,91,31.9,73,-53.4,33.6,75.1,576.4,2.2,1707970.1,681807,1952531,8461932.8,93,22,57.6,-61.2,22,57.6,400.7,1.5,1531601.1,611074,1775066.3,7611964,89,32.1,74.6,-50.5,32.1,74.6,91,26.7,68,-54.5,-54.5,26.7,68,92,43.6,112.7,,45.1,114.5,94,39.9,103.2,,42.9,106.8,94,41.1,104.7,-53.4,40.7999999999999,104.5,,,,,,,,52.2,,-23.2,51.4,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,
0260/016,Insurance Exchange Building,433 CALIFORNIA ST,94104,116866,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0260/016,1913,04/01/2019,,79,32,88.5,-36,32,88.5,255.3,2.2,1074772.3,75945.9,,3743069.4,,34.7,94.9,-33.6,34.7,94.9,275.7,2.4,1143589.1,155693.5,,4057620.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,,9.5,71.2,,2021 - Complied,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,
0260/017,300 PINE ST,300 PINE ST,94104,62463,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0260/017,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0261/005,M & E LLC,216 PINE ST,94104,45000,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0261/005,1907,04/01/2025,,,72.1,146.8,26.2,74,148.9,185.8,4.1,536222.7,1414163,,3243755,,81.7,160.2,8.8,86.3,165.1,220.9,4.9,562410.3,1763612,,3682556.3,21,102.1,215.6,46.2,103,213.7,293,6.5,818097.6,1814598.9,,4605948.2,16,108.6,223.4,70.3,108.6,224.1,308.9,6.8,826437.2,2075585.3,,4895389.3,,105.5,248.8,68.1,104.3,245,,107.6,249.7,68.7,68.7,106,244.7,,103,247.2,67,101.6,243.1,,,,,,,,114.8,273.3,84.6,114.1,270.8,,118.7,286.7,74.5,120.1,291.399999999999,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,
0261/007,220 Sansome,200 SANSOME ST,94104,64104,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0261/007,1927,04/01/2024,,80,46.7,75.5,-38.2,50.1,79.1,166.1,2.6,284723.2,2019866,,2991341.6,,53.3,84.8,-29.2,64.5,96.5,195.4,3,309390.9,2361671.1,,3417312.9,65,60.5,98.6,-18.7,66.8,105.3,222.8,3.5,377319.5,2588355.2,,3875769.6,70,54.6,92,-20.2,54.2,91.6,208.1,3.2,372072.4,2233586.5,,3503097.5,85,54.8,105.9,-37.7,59.6,110.9,85,50,103.2,-38.5,-38.5,57.5,111.1,85,50.5,105.8,-38,53.9,109.3,90,40.3,91.8,-45.2,47.3,99.1,89,49.4,97.5,-43.5,50.1,98.2,93,40,88.3,-51.3,37.9,86.1,88,50.1,,-42.3,45.5,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0261/010A,351 California Street,351 CALIFORNIA ST,94104,139488,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0261/010A,1920,04/01/2027,,1,22665.9,27296.2,23016.3,23888,28766.3,209932.5,1505,720476.8,0,3159167698,3161625965,,10328.5,12453.7,10601.8,14303.4,17235.7,95665.4,685.8,718992.4,0,1438244420,1440697623,,,,,,,,,,,,,65,56.7,126,-15.3,56.3,125.5,522.3,3.8,1483973,1063609.8,1644457,7771383.3,85,46.4,127.4,-37.9,48.1,129.3,83,47.3,130.9,-35.5,-35.5,50.6,134.4,77,59.1,145.8,-29,61.6,148.7,79,54.1,140.8,-30.6,58.8,146.1,81,44.1,138.6,-33.2999999999999,44.1,138.6,96,35.6,92,-56.3,34.6,90.7,100,38.3,,-81.8,34.9,,2021 - Complied,,2020 - Complied,,2019 - Exempt,Change in Ownership,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0261/015,311 California,311 CALIFORNIA ST,94104,89927,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0261/015,1910,04/01/2027,,83,32.2,56.4,-41.7,33.4,57.8,186.7,2.1,290074.6,,1909483.4,2899218,,29.9,59.6,-37.9,33.8,64.4,178.2,2,390869.5,,1352921.4,2686568.5,67,37,76.8,-21,39,79.2,228.4,2.5,531871.8,,1514202.1,3328949,34,54.3,119,33.8,54,118.6,336.6,3.7,885368.7,,1865266.8,4886145.3,85,37.4,82.1,-38.4,37.4,82.1,90,24.1,71.8,-45.2,-45.2,24.1,71.8,72,42.7,102.5,-23,44.7,104.8,71,41.1,101.7,-22.3,44.3,105.6,1,,,,,,1,,,,,,87,37.1,,-40.4,37.1,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,
0267/003,65 Battery Street,65 BATTERY ST,94104,15406,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0267/003,1918,04/01/2024,,,4.7,13.3,-88.6,4.7,13.3,4.4,0.3,21373.6,,,72926.6,,13.9,39,-66.5,13.9,39,14.2,0.9,62923.4,,,214694.6,,46.8,130.9,12.5,46,128.8,50.7,3.3,211106.1,,,720293.9,,50.9,142.5,22.5,51.1,143.2,55.2,3.6,229803.9,,,784091,,51.5,161.8,9.3,51.5,161.8,,54.6,171.4,15.8,15.8,54.6,171.4,,74.2,233,57,72.7,228.4,,77.4,243,64.0999999999999,75.1,235.7,,77.5,243.4,64.4,77.3,242.7,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0261/017-A,345 CALIFORNIA ST,345 CALIFORNIA ST,94104,814226,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0261/017-A,1987,04/01/2026,,,30.8,65,-44.1,31.2,65.6,1535.8,1.9,4072124.4,,10466408.9,24360498.9,,29.2,64.7,-44.4,31,66.8,1535.2,1.9,4289243.2,,8509771.1,23144670.7,91,40.3,93,-53.8,40.6,92.5,2210.6,2.8,6463269,,9898324.3,31951001,90,37.9,87.6,-50.5,37.7,87.4,2075.6,2.6,6111643.7,,9136672,29989602.9,97,38.1,98.1,-60.2,38.8,99,96,40.6,103.1,-57.8,-57.8,41.5,104.2,95,42.8,111.8,-55,43.1,111.4,95,42.5,112.2,-55.2,43.4,113.4,95,45.5,119.7,-53.3,45.5,119.6,93,47.6,123.3,-50.7,47.3,123.6,94,46.5,,-51.6,45.7,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0261/017-B,222 SANSOME ST,222 SANSOME ST,94104,162702,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0261/017-B,1987,04/01/2020,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,31,129.6,257.1,17.1,129.6,257.1,1417.1,8.7,3074399.7,1891126.7,8700382.8,21081362.4,22,140.3,280.9,27.5,139.4,279.9,1556.7,9.6,3359813.6,387000,10973226,22823911.3,18,141.1,302.9,36.1,144.9,307.5,14,143.4,311.7,42.7,42.7,146,314.8,16,137.2,300.5,39,138.5,302.1,14,137.6,303.5,42.9,140.4,306.8,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,
0262/008,Dalum Corporation,130 BATTERY ST,94111,33863,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0262/008,1986,04/01/2024,,59,42.5,119.1,-11.7,42.5,119.1,87.2,2.6,422137.6,0,,1440333.5,,41,114.7,-17.7,41,114.7,92,2.7,406621,0,,1387391.2,53,47.4,132.6,-4.9,45.4,127,113,3.3,470053,,,1603821.2,36,79.7,156.9,26.3,80.1,158.1,167.9,5,415327.7,1281789,,2698887.4,44,83.2,185.3,6.3,83.2,185.3,28,99.2,215.2,26.6,26.6,103.9,220.1,30,94.6,213.4,24,97,216,22,110.7,239.8,36.6,115.2,244.5,37,95.7,204.9,14.9,96.2,205.4,13,129.8,288.7,55.8,130.199999999999,289.1,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0262/013,PR III 255 California LLC,255 CALIFORNIA ST,94111,179728,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0262/013,1958,04/01/2027,,94,37.8,90.6,-51.4,38.7,91.7,420.8,2.3,1490216.6,,1703869.5,6788489.3,,42,104.8,-38.4,45.3,108.8,500.2,2.8,1791350.9,,1431391.8,7543481.7,,,,,,,,,,,,,78,56.3,131.8,-31,56,131.4,735.9,3.9,2216458.8,,3060243.7,10622802.2,92,54,136.7,-47.3,54.9,136.7,90,56.4,141.4,-44.7,-44.7,58.1,142.4,89,50.6,132.6,-43,51.9,134.2,85,53.4,138.2,-38.1,55.8,141.2,85,58.3,149.4,-37.6,58.5,149.6,84,58.3,158.1,-35.9,57.8,158,79,61.4,,-30.9,61.4,,2021 - Complied,,2020 - Complied,,2019 - Exempt,Change in Ownership,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0262/018,160 Pine,100 BATTERY ST,94111,103664,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0262/018,1956,04/01/2024,Upcoming,,45.8,106.7,-41.1,46.3,107.3,295.6,2.9,981619.1,,1399924.6,4749209.4,,40.3,99.4,-46.5,41.9,101.3,277.3,2.7,968664.6,,875827.9,4180911.7,,51.4,127,-31.7,51.5,126,353.7,3.4,1238815.5,,1106508.1,5333347.3,74,55.1,135,-18.8,55.3,135.3,365.2,3.8,1201776.1,,1158986.7,5259447.1,72,56.5,157.6,-23.2,57.2,158.4,62,65.3,175.3,-13,-13,66,176.1,65,64.8,172.7,-16,64.8,172.7,59,67.6,181.2,-10.4,66.8,178.9,65,63.4,174.1,-15.8,63.3,173.9,70,59.9,174.8,-20.8,60.1,175,76,48.2,,-27.6,48.2,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
